,file,bbox,class,size (cm)
1451,18_05_21-B37,"[628.8448396690842, 1195.1980694427994, 731.1551603309158, 1545.7590962325562]",Pagellus acarne,18.7184894030402
1452,18_05_21-B37,"[1751.8143852871456, 304, 1045.1453286163717, 1854.334262631448]",Pagellus acarne,24.6346902112367
1453,18_05_21-B37,"[2009.3743888241859, 349, 1005.4331193096048, 1604.9086099538763]",Pagellus acarne,21.6114011092514
1454,18_05_21-B37,"[2431.5027349268207, 559.5637059892896, 968.7725600889694, 1543.4161659460224]",Pagellus acarne,21.4354847248546
1455,18_05_21-B37,"[3070.659974268496, 397.22272870948444, 572.6262831681734, 1532.142332249049]",Pagrus pagrus,20.0301307305846
1456,18_05_21-B37,"[1464, 2097.65603915266, 1660.432928471132, 524.8098044464145]",Pagellus acarne,20.4287085842723
1457,18_05_21-B1,"[1517, 285, 822.0310257862316, 621]",Sepia officinalis,8.65352894357093
1458,18_05_21-B1,"[1116.8683473284088, 716.8593371120705, 832.386126178149, 600.1115580600715]",Sepia officinalis,8.2052589475657
1459,18_05_21-B1,"[786.9247660297731, 1180.9326160840214, 622.0087349064656, 798.0673839159786]",Sepia officinalis,8.42232878966542
1460,18_05_21-B1,"[1480.0669311447357, 1326.0672086045756, 627.280770251228, 775.4097232262166]",Sepia officinalis,8.90899448215607
1461,18_05_21-B1,"[2099.7901017543822, 1518.0302395007345, 705.8798065236706, 792.0364424376946]",Sepia officinalis,9.14827263766522
1462,18_05_21-B1,"[2454.9782488077794, 2024.5093295008562, 571.9453256910019, 488.4027500282716]",Sepia officinalis,6.79769407446077
1463,18_05_21-B1,"[2998.4733837740328, 1040.960384950036, 652.976609032602, 940.1653954126816]",Sepia officinalis,9.58447950307138
1464,18_05_21-B1,"[2537.5356102016644, 953.8234902514462, 536.627791431903, 676.5697411482308]",Sepia officinalis,7.26217581208076
1465,18_05_21-B1,"[1906.5993998664676, 900.0807464692183, 717.8927656882338, 611.7451972207128]",Sepia officinalis,8.51987426952913
1466,18_05_21-B11,"[716.2579847185053, 401, 392.3301408589999, 1407.4912004877926]",Mullus barbatus,16.4004692934955
1467,18_05_21-B11,"[853.4909790982194, 1232.5234259444012, 368.80383414540256, 1539.1915118925474]",Mullus barbatus,17.3103136204797
1468,18_05_21-B11,"[1172, 608, 341.6427395023636, 1480.6283878973618]",Mullus barbatus,16.8726801243615
1469,18_05_21-B11,"[1429.1570180620738, 285.4620906320109, 822.7175345984897, 1204.8050698250381]",Mullus barbatus,16.8774190880492
1470,18_05_21-B11,"[1477.8138458781932, 1036, 428.1861541218068, 1486.0390936482777]",Mullus barbatus,17.0456408287429
1471,18_05_21-B11,"[1650.5585767740852, 1323.9854711958396, 349.44142322591483, 1376.8459104415442]",Mullus barbatus,16.298760484937
1472,18_05_21-B11,"[1919.6460856632204, 1496.978121328627, 871.75862003821, 1163.6583418642622]",Mullus barbatus,16.7409099523765
1473,18_05_21-B11,"[1831, 802.53038171859, 1023.4149896669514, 1306.46961828141]",Mullus barbatus,18.3100791319063
1474,18_05_21-B11,"[2030.7860618629466, 1606.908180998278, 1174.9857205283706, 759.5661590244058]",Mullus barbatus,16.3808706787049
1475,18_05_21-B11,"[2737, 1202.2064960078442, 421, 1562.7935039921558]",Mullus barbatus,18.4493400904573
1476,18_05_21-B11,"[3301.9517633120854, 1311.4313557898593, 335.4896398029705, 1435.7806822860755]",Mullus barbatus,17.6013265244596
1477,18_05_21-B11,"[2864.735103537115, 1109.3918649035222, 574.2564526672459, 1187.2039429255474]",Mullus barbatus,14.8768122818582
1478,18_05_21-B11,"[2409.7936822833426, 276, 552.3657665149344, 1277.8400504043304]",Mullus barbatus,16.7255811654971
1479,18_05_21-B34,"[1270, 228.49174407841812, 1647.7323195747294, 508.3909858181297]",Pagellus acarne,20.8589941282096
1480,18_05_21-B34,"[497, 194.65932122251513, 551.8986494616174, 1808.3406787774848]",Pagellus acarne,21.8728746524061
1481,18_05_21-B34,"[819.5570973814158, 477.96048481647284, 674.4429026185842, 2091.4307543124983]",Pagellus acarne,25.7488685344024
1482,18_05_21-B34,"[1497, 712, 887.6491146279755, 1928.870876401692]",Pagellus acarne,25.4965118274796
1483,18_05_21-B34,"[2112.011976676294, 806.3229411738298, 499.35331396336824, 1609.1085622298]",Pagellus acarne,19.0553904429911
1484,18_05_21-B34,"[2857.564772310133, 419.9058329285554, 568.4352276898671, 2169.0206598992627]",Pagellus acarne,26.5936156596647
1485,18_05_21-B2,"[1211.2355635446488, 266.03162471776164, 355.6322686402066, 2677.591101984199]",Sphyraena sphyraena,40.4384854533136
1486,18_05_21-B2,"[1606, 1579.412183599357, 315, 1000.9945476111911]",Serranus scriba,13.9293810474341
1487,18_05_21-B2,"[1466.650394674878, 767.4073124296465, 963.2031989773141, 1152.5856461335302]",Serranus scriba,20.3917009008396
1488,18_05_21-B2,"[1828.3712931727375, 727.0782151315241, 982.6287068272625, 264.9217848684759]",Serranus scriba,15.6782470791443
1489,18_05_21-B2,"[1562.5878691554133, 725.3027356245436, 1005.1374299732986, 585.5907851799038]",Pagellus erythrinus,17.6662599854115
1490,18_05_21-B2,"[1842.2413924658265, 1259.1611017815133, 679.9117953481043, 1288.566459306014]",Pagellus erythrinus,20.69237152116
1491,18_05_21-B2,"[2838.310793329169, 1526.4064331817751, 333.35579329505254, 1012.0667409069135]",Pagellus acarne,15.3011928883603
1492,18_05_21-B2,"[3154.6684875582255, 1431, 287.4532710073863, 968]",Pagellus acarne,14.7926828679244
1493,18_05_21-B2,"[3295.8200431258347, 1464.2760696359367, 241.90845950165522, 903.7239303640633]",Pagellus acarne,13.5231924731888
1494,18_05_21-B31,"[683.0650615523436, 74.14512266389305, 1805.3705581350632, 585.8548773361069]",Pagellus erythrinus,23.7163363245511
1495,18_05_21-B31,"[763, 558.4613261470681, 588.0393287976499, 1753.0170111423263]",Pagrus pagrus,21.7682720785778
1496,18_05_21-B31,"[1991, 521.1039242633656, 490.17932579785065, 1803.4091537239578]",Pagellus erythrinus,23.0444134700069
1497,18_05_21-B31,"[2391.817685976047, 138, 693.182314023953, 1896.3271607992092]",Pagellus erythrinus,25.2513706286012
1498,18_05_21-B31,"[3045.6158533467255, 306.75160904878527, 519.8963891113694, 1626.9598636204344]",Pagellus erythrinus,21.3992298328941
1499,18_05_21-B31,"[1817.8952574664384, 1947.2723934920668, 1706.4362110066838, 529.7276065079332]",Pagellus erythrinus,22.4930423801054
1500,18_05_21-B39,"[1354, 196.39041121927852, 1170.7526765653606, 433.6095887807215]",Pagellus acarne,15.6992134886522
1501,18_05_21-B39,"[368.78343051106054, 912.4816862650943, 1638.914021974468, 793.5183137349057]",Pagellus acarne,20.6284608070414
1502,18_05_21-B39,"[2475.941870432407, 650.8167742697988, 419.5466447933927, 1482.1832257302012]",Pagellus acarne,18.9283433154376
1503,18_05_21-B39,"[2874, 730.2258799703741, 365.5082761011472, 1513.774120029626]",Pagellus acarne,19.5856451684969
1504,18_05_21-B39,"[724.5560301456316, 2094.5392526737874, 1368.2003528311288, 360.46074732621264]",Pagellus acarne,16.9044007352213
1505,18_05_21-B12,"[344.9004406334879, 736.074154705353, 505.5000744586185, 1359.925845294647]",Mullus barbatus,15.9341923802283
1506,18_05_21-B12,"[468, 219.07201906289183, 450.50899858201126, 1312.878591895561]",Mullus barbatus,14.5953583418168
1507,18_05_21-B12,"[714.104508745989, 223.23663102931326, 1556.8631172492653, 630.1967113096616]",Mullus barbatus,18.5041265241496
1508,18_05_21-B12,"[842.5819903369994, 805.0458570298214, 369.4589390560244, 1456.3176227870908]",Mullus barbatus,16.2984915869824
1509,18_05_21-B12,"[1085.5939011085422, 646.2120622631508, 614.2697329197244, 1665.3101573144747]",Mullus barbatus,19.6156144072142
1510,18_05_21-B12,"[1625.4626585154065, 856.4855835153056, 364.70970520516335, 1330.4725971736943]",Mullus barbatus,15.4595762985925
1511,18_05_21-B12,"[997.677178781244, 2123.503877136455, 1430.724903062841, 336.9596954826893]",Mullus barbatus,16.7422329306348
1512,18_05_21-B12,"[2339, 670.5443744544738, 510.70760707448426, 1382.0681995157765]",Mullus barbatus,16.1452764809543
1513,18_05_21-B12,"[2581.419616699907, 295.3976081532948, 522.2059074193417, 1465.6023918467051]",Mullus barbatus,17.6123849951821
1514,18_05_21-B12,"[2780.280661413651, 713.5277348402948, 519.7193385863488, 1544.1212711806747]",Mullus barbatus,19.1596395114558
1515,18_05_21-B12,"[3277.6935966174296, 322.10414849843227, 326.3679216641899, 1519.7371946614917]",Mullus barbatus,17.8387693639285
1516,18_05_21-B5,"[2136.6944548256984, 1517, 1299.6487017389827, 484]",Diplodus anularis,16.7573543276362
1517,18_05_21-B5,"[940.7409163962684, 594.624378599862, 922.0200667756778, 749.2696011635458]",Pagellus acarne,13.795896472638
1518,18_05_21-B5,"[703.7791369649918, 717.9072205730524, 869.448661625292, 940.1268808480143]",Pagellus acarne,15.0199558809132
1519,18_05_21-B5,"[707.6763187225889, 1003, 696.8504318367435, 1683.6381253367867]",Pagellus erythrinus,21.525377454848
1520,18_05_21-B6,"[762.5963604525673, 1085.954741747195, 611.9417626981165, 1364.045258252805]",Symphodus tinca H,17.2393456354336
1521,18_05_21-B6,"[861.5920887365177, 337.2393705335554, 754.6484642878307, 1825.7606294664447]",Symphodus tinca H,21.9714779071273
1522,18_05_21-B6,"[2012.683343668713, 368.09087042176446, 595.316656331287, 1971.283468041756]",Symphodus tinca M,23.5711957724373
1523,18_05_21-B6,"[2373.29262042092, 458.34660957002194, 787.6261714415577, 2151.666409688322]",Symphodus tinca M,26.2649907890879
1524,18_05_21-B6,"[2733.1698736398594, 362.68163827733815, 1028.7748344459296, 1277.3183617226618]",Symphodus tinca M,19.0231293535739
1525,18_05_21-B4,"[755.757457814867, 282, 361.24254218513295, 1173.652765892611]",Serranus scriba,14.7700202390323
1526,18_05_21-B4,"[1230.9021584521436, 463, 341.22144289851894, 1111]",Pagellus acarne,14.0467216636536
1527,18_05_21-B4,"[1646.2243591521042, 918, 484.77564084789583, 1127]",Pagellus acarne,14.94356409214
1528,18_05_21-B4,"[2175.7136914511893, 955.9786306713631, 695.6526011915912, 917.3617442965324]",Serranus scriba,13.4487324894034
1529,18_05_21-B4,"[2461.073568632023, 599, 501.42479416295373, 1110.7317545058431]",Pagellus acarne,14.6164864963689
1530,18_05_21-B4,"[1364.8443815163416, 1876.9006254717451, 1141.141140333734, 762.1226482634756]",Pagellus acarne,16.2052944905721
1531,18_05_21-B4,"[755.5318307935698, 1540.2728938014495, 582.0305633064103, 1152.561255066825]",Pagellus acarne,14.7513084885013
1532,18_05_21-B4,"[666.244365089973, 1330.9700866833664, 347.04852201341737, 1139.0299133166336]",Serranus scriba,13.7806235016549
1533,18_05_21-B13,"[915.3105229057023, 1091, 469.317586739076, 1338.5023948268608]",Pagrus pagrus,16.5152201656868
1534,18_05_21-B13,"[1269.4335447842427, 2247.848086057083, 1228.4840680218986, 459.15191394291696]",Diplodus anularis,15.005542067003
1535,18_05_21-B13,"[2430.9378434888267, 1777.0360247198814, 1146.0521965256244, 635.3760882292322]",Diplodus anularis,15.954394035425
1536,18_05_21-B13,"[1687.67941400493, 400.2855324912641, 783.3227386172716, 992.462304752951]",Diplodus anularis,15.0415839081949
1537,18_05_21-B24,"[635, 594.7458339012819, 920.1921916016206, 2065.254166098718]",Symphodus tinca M,24.2170997445391
1538,18_05_21-B24,"[1097, 425, 876.4614469133162, 1954.1012791993548]",Symphodus tinca H,23.3663761503542
1539,18_05_21-B24,"[859.980267091074, 221.26060490608435, 1901.2078604146277, 583.7393950939156]",Symphodus tinca H,22.253535308868
1540,18_05_21-B24,"[2697.0657596621495, 440, 645.7163979036895, 1850]",Symphodus tinca H,22.985229327035
1541,18_05_21-B24,"[2915.95354490022, 256.6320534405895, 662.0464550997799, 1863.3679465594105]",Symphodus tinca H,22.7083128396472
1542,18_05_21-B35,"[912.1288365468336, 992, 440.87116345316645, 1490]",Pagellus acarne,19.1092824593018
1543,18_05_21-B35,"[1164.2205234675537, 100.96105829108679, 687.4852434383683, 1578.678863516109]",Pagellus acarne,21.3883495777357
1544,18_05_21-B35,"[1904, 500.50398445729377, 1500.021816869898, 405.49601554270623]",Pagellus acarne,20.386416192989
1545,18_05_21-B35,"[2111.2757837916324, 864.0584171186797, 1461.9950740977897, 610.5034375353407]",Pagellus acarne,20.6146747830169
1546,18_05_21-B35,"[2100.5779691521097, 2336.5143821219094, 1404.4375705881057, 379.90764872598083]",Pagellus acarne,19.3151210670806
1547,18_05_21-B35,"[2173.8800110391307, 1009.0886505542301, 519.3360113476047, 1338.5675632244559]",Pagellus acarne,17.5922573220235
1548,18_05_21-B35,"[1796.5530319922138, 495.7862967213683, 604.5191781445817, 1631.295537977975]",Pagellus acarne,21.7590068725096
1549,18_05_21-B15,"[1129, 314.9390798129425, 1385, 317.9514971923787]",Pagellus acarne,17.2687329872311
1550,18_05_21-B15,"[2681, 1613.906010161111, 1139.5683621187186, 509.18002332077936]",Pagellus acarne,15.5571726890912
1551,18_05_21-B16,"[625.8219401776355, 1094, 357.1780598223645, 1216]",Pagellus erythrinus,15.3279510040914
1552,18_05_21-B16,"[946.5425869184226, 145.95706544206342, 671.1821102904905, 1928.6935204032322]",Pagellus erythrinus,24.346386772924
1553,18_05_21-B16,"[1037.7662713484842, 526.3080823137632, 1081.0, 463.1064089815542]",Spicara maena,14.6065248398409
1554,18_05_21-B16,"[1549.692538179941, 1449.3984892357369, 1114.307461820059, 495.2484469266044]",Spicara maena,15.1980432468816
1555,18_05_21-B16,"[682.4152635920939, 2206.5548310407426, 1044.4303181563614, 314.44516895925744]",Pagellus acarne,13.528182194625
1556,18_05_21-B38,"[69.18484013300895, 1457.4594361847257, 3938.0, 648.0]",Sphyraena sphyraena,66.1875603991039
1557,18_05_21-B23,"[1207, 1827, 993.4806244434826, 839]",Scorpaena porcus,14.0246023675315
1558,18_05_21-B23,"[709.3187210282689, 980.3329729928402, 1496.7834601870559, 1194.6237077331934]",Serranus scriba,20.8717137336955
1559,18_05_21-B23,"[1928.1845735334498, 421.2459438842584, 717.6737953414129, 564.7540561157416]",Scorpaena porcus,11.3092088487959
1560,18_05_21-B23,"[2383, 1029.3228308473615, 593.0735878382043, 1590.712476944286]",Pagrus pagrus,20.5346251115035
1561,18_05_21-B23,"[3054.539651543274, 126, 379.460348456726, 1157.679730805038]",Serranus scriba,15.0504847997805
1562,18_05_21-B29,"[1380.9630998795394, 123.12060552006928, 1869.0369001204606, 1087.42179334861]",Pagellus erythrinus,26.2352788238993
1563,18_05_21-B29,"[569.2931058894501, 300.1417941776665, 818.2181592665136, 1743.8582058223335]",Pagellus erythrinus,23.9316696176234
1564,18_05_21-B29,"[983.2296020128643, 370.66232922743615, 918.4219369290289, 1803.736447139759]",Pagellus erythrinus,24.6004186269937
1565,18_05_21-B29,"[2025, 782, 846.5915896299862, 1667.4323240023473]",Pagellus erythrinus,24.0675775863518
1566,18_05_21-B29,"[697.5237316708597, 1993, 1862.4762683291403, 517.2616234449342]",Pagellus erythrinus,25.2455440354541
1567,18_05_21-B29,"[2848, 869.5170385917119, 513.9190792357444, 1552.3630773977384]",Pagrus pagrus,20.6744419415084
1568,18_05_21-B10,"[705.9626356721493, 267.52790285370634, 1035.0977011829714, 1225.8991207558697]",Mullus barbatus,18.1722094502579
1569,18_05_21-B10,"[672.3800171971005, 1473, 473.90142318167557, 1490.2688722283715]",Mullus barbatus,17.9191103802328
1570,18_05_21-B10,"[1121.6848789926228, 1655.1988643895015, 1234.9834701317038, 953.9403698903266]",Mullus barbatus,18.7210811505177
1571,18_05_21-B10,"[1475.2971622238988, 956.2997834276974, 480.9856368838116, 1419.2045335213697]",Mullus barbatus,17.7217828158774
1572,18_05_21-B10,"[1810, 835.447270623809, 313.80115382241684, 1575.6726453149568]",Mullus barbatus,19.3061856263313
1573,18_05_21-B10,"[2085.0653444359486, 1190.8983765819185, 326.4522967144585, 1447.1016234180815]",Mullus barbatus,17.6387407955662
1574,18_05_21-B10,"[2248.5786148842394, 286.41773010931075, 761.0567174810712, 1209.326544813557]",Mullus barbatus,16.9849953046732
1575,18_05_21-B10,"[2354.7045876747725, 1441, 345.2296616037038, 1496]",Mullus barbatus,18.2139297160814
1576,18_05_21-B10,"[2642, 1482.292020805723, 676.7441574835757, 1208.9037389930468]",Mullus barbatus,16.5532651243459
1577,18_05_21-B10,"[3293.293498209815, 1355, 282.4535662211888, 1302.5094513931917]",Mullus barbatus,16.4941015756993
1578,18_05_21-B10,"[2958.4492778217186, 561.7417398658781, 529.3573302855789, 1162.6496598819267]",Mullus barbatus,16.7116660147477
1579,18_05_21-B44,"[723.366933463762, 567.5104082880297, 454.7633608918818, 1512.4895917119702]",Mullus barbatus,17.4448843490071
1580,18_05_21-B44,"[1051.1481184293511, 148.66290983694853, 465.13333333333344, 1701.3370901630515]",Mullus barbatus,19.837783091211
1581,18_05_21-B44,"[1403.4465378838513, 769.5780970998068, 374.4831877852323, 1504.7914175838823]",Mullus barbatus,17.6178290760998
1582,18_05_21-B44,"[1661, 790, 597.6729284228054, 1482]",Mullus barbatus,18.0513899801792
1583,18_05_21-B44,"[1370.6202398745177, 2253.709792079729, 1534.2915338059292, 490.00933802178906]",Mullus barbatus,18.8441538244184
1584,18_05_21-B44,"[2312.6780940358867, 963.0057349576426, 679.1565907484119, 1393.4260392498027]",Mullus barbatus,17.9918358075533
1585,18_05_21-B44,"[2453.020268690989, 859.4433577546447, 980.620663781539, 1465.7149283117683]",Mullus barbatus,20.0127624689789
1586,18_05_21-B44,"[2349.375422507045, 342.0465430645885, 824.7879121019378, 1273.8960298717293]",Mullus barbatus,17.5690280168186
1587,18_05_21-B44,"[2965.990141513961, 324.30218431493364, 486.78005266337277, 1650.7671524232107]",Mullus barbatus,20.332888703426
1588,18_05_21-B8,"[672, 268.6483879991493, 546.6590786820432, 1530.3516120008508]",Mullus barbatus,17.6449338479216
1589,18_05_21-B8,"[848.1372103985972, 225, 484.25913682818043, 1436.9591810244106]",Mullus barbatus,17.3518541724505
1590,18_05_21-B8,"[1095, 409.58732082788185, 465.29690409805517, 1570.3079592068048]",Mullus barbatus,18.677669793727
1591,18_05_21-B8,"[1379.7934680370122, 606, 374.2065319629878, 1609.2984123410206]",Mullus barbatus,18.8211149161373
1592,18_05_21-B8,"[1618.9667706147868, 592, 585.136356223619, 1485.956555968352]",Mullus barbatus,16.5763965160322
1593,18_05_21-B8,"[1699.8688065974254, 467.87567597502505, 821.6682398657624, 1145.3972959731414]",Mullus barbatus,15.9483876590342
1594,18_05_21-B8,"[1375, 272, 1511.8987723057944, 458.97225251306145]",Mullus barbatus,18.8578832713387
1595,18_05_21-B8,"[2159.0992268401687, 754.083840568051, 560.70700368693, 1597.6451504814027]",Mullus barbatus,19.2415443819049
1596,18_05_21-B8,"[2671.4761634540578, 332.278895179927, 738.0116948192531, 1158.305413972463]",Mullus barbatus,15.7602238223369
1597,18_05_21-B8,"[3186, 589, 343.8958538843949, 1335.4444375465098]",Mullus barbatus,16.3737801013596
1598,18_05_21-B8,"[3042.3389971040137, 1233.4540374766743, 513.6451554376449, 1445.5459625233257]",Mullus barbatus,17.5541317263658
1599,18_05_21-B8,"[2469.4234555805847, 1242.1127436695958, 666.6595322963321, 1234.717862951605]",Mullus barbatus,16.6327789426733
1600,18_05_21-B8,"[1688.8478126959594, 2030.807473713878, 1342.8334499116809, 580.7555980114523]",Mullus barbatus,17.5783893442393
1601,18_05_21-B8,"[595.3568787515651, 2161.044213928137, 1603.6829185488782, 500.37142731335234]",Mullus barbatus,18.3683090328754
1602,18_05_21-B17,"[1019.610303689399, 1845.5847919911944, 1209.5821646943612, 387.4152080088056]",Pagrus pagrus,16.8325545759035
1603,18_05_21-B26,"[1792.96592931552, 420, 1600.03407068448, 532.5707034788197]",Symphodus tinca M,20.3314429921348
1604,18_05_21-B26,"[794.2162753778621, 390.3799766736289, 1672.247928729998, 591.6200233263711]",Symphodus tinca M,20.1549237065677
1605,18_05_21-B26,"[2213, 1810, 1195.9334189090223, 935.3792894941885]",Symphodus tinca H,16.958788421547
1606,18_05_21-B26,"[1916.6227252513381, 1550.4750582942156, 740.6370650099766, 1129.4313594403761]",Symphodus tinca H,14.8445449127174
1607,18_05_21-B26,"[1648.1631159581136, 1675.4628079283566, 691.9999999999911, 909.9999999999886]",Symphodus tinca H,12.4637743933629
1608,18_05_21-B26,"[1216.6402167397448, 969.181229721931, 1036.197452299062, 832.8177231228851]",Symphodus tinca H,14.7979270388596
1609,18_05_21-B26,"[2352.516315063539, 1067.8049150726022, 483.5829860477338, 1423.436962253463]",Symphodus tinca M,17.2316136021111
1610,18_05_21-B41,"[536, 853.3772131764682, 859.5994196708098, 1272.622786823532]",Sepia officinalis,13.0843146003474
1611,18_05_21-B41,"[1234.0063180396116, 598, 747.0159293659433, 989.729674083462]",Sepia officinalis,10.4448528904268
1612,18_05_21-B41,"[2002.525668182823, 740, 699.474331817177, 921.3548081715489]",Sepia officinalis,9.60869426905019
1613,18_05_21-B41,"[2402, 566, 739.8433534326336, 812]",Sepia officinalis,9.06798677198595
1614,18_05_21-B18,"[525.278111311795, 1021, 923.8580453491578, 1253]",Sepia officinalis,13.375324971631
1615,18_05_21-B18,"[1495, 754, 923.1247017230094, 1298]",Sepia officinalis,12.9874783856692
1616,18_05_21-B18,"[2371.9900837004075, 1136, 585.0099162995925, 830.223253665235]",Sepia officinalis,8.95328554069765
1617,18_05_21-B42,"[862, 262.5118423951958, 1662, 470.58058837871454]",Mullus barbatus,19.1491041162975
1618,18_05_21-B42,"[657.4529714775642, 1004, 974.1630349302475, 873]",Sepia officinalis,9.30019586732699
1619,18_05_21-B42,"[1278, 718.1597182459984, 759.8645310191496, 727.6952043639217]",Sepia officinalis,8.21421395576936
1620,18_05_21-B42,"[591.4107726783238, 2065.193490493319, 1737.967807853506, 625.1657126554742]",Mullus barbatus,19.5628457036215
1621,18_05_21-B42,"[1821.5192288864494, 1504.786028325888, 1198.8561674859964, 1188.213971674112]",Mullus barbatus,18.5379247220749
1622,18_05_21-B42,"[2298.391301560544, 944, 636.2088454315658, 941.4318133626887]",Sepia officinalis,9.70298817466731
1623,18_05_21-B42,"[2627.7418402309254, 758.1128570892566, 663.5208413213049, 811.8871429107434]",Sepia officinalis,8.83488422054523
1624,18_05_21-B42,"[3192, 708, 369.5395386195846, 1567]",Mullus barbatus,18.2343074320293
1625,18_05_21-B45,"[1181.3119726613343, 465, 1394.4753041125884, 368.0320410079987]",Mullus barbatus,17.583423285395
1626,18_05_21-B45,"[1296, 873, 1650.2375209834458, 464]",Mullus barbatus,20.3892368344308
1627,28_04_21-B20,"[3082.742777398745, 437, 421.25722260125485, 971.3964035357033]",Pagellus acarne,13.5961912218444
1628,28_04_21-B20,"[2263.2301520262313, 763, 955.7698479737687, 295]",Pagellus acarne,13.3788739673594
1629,28_04_21-B20,"[2238, 786.4784049805297, 924.0710363718235, 733.5215950194703]",Pagellus acarne,14.694674474386
1630,28_04_21-B20,"[1588, 1137, 1055, 443.6893139527299]",Pagellus acarne,14.4933745054216
1631,28_04_21-B20,"[2033.9576431470468, 1287, 1153.1329586626903, 394.15105134243186]",Pagellus acarne,15.6767106224351
1632,28_04_21-B20,"[814, 1509.8572806824134, 1134, 490.1427193175866]",Pagellus acarne,14.995659357151
1633,28_04_21-B20,"[3065.542619543377, 1423.7924908626244, 383.7817781992362, 1163.3743113371577]",Pagellus acarne,15.784512985612
1634,28_04_21-B20,"[2720.20483834874, 1468.5934799536506, 632.6676175959847, 1073.4065200463494]",Pagellus acarne,15.0179459596327
1635,28_04_21-B20,"[2549.1214759938794, 1456, 547.8785240061206, 1034.136584307389]",Pagellus acarne,14.5381079513367
1636,28_04_21-B20,"[1191, 2129.6786133860314, 1007.7589242674767, 390.9903508482662]",Pagellus acarne,13.0973262617686
1637,28_04_21-B40,"[1073, 1459, 566.799404165122, 917]",Diplodus anularis,14.6403216420267
1638,28_04_21-B40,"[1338, 728, 654, 1225]",Spicara maena,19.7452422880453
1639,28_04_21-B40,"[2647.8861497118087, 752.0025492853423, 606.2659220204719, 934.9974507146577]",Diplodus anularis,16.0679821395158
1640,28_04_21-B40,"[3089.49008084266, 814, 359.50991915733994, 1081.3125167678988]",Diplodus anularis,16.1482034783723
1641,28_04_21-B40,"[3132.0447518780447, 1874, 300.5122358273193, 998]",Diplodus anularis,15.2726177178475
1642,28_04_21-B40,"[2147.456073769801, 2274, 1014.3220988333915, 481]",Diplodus anularis,15.9636337249217
1643,28_04_21-B25,"[430, 954, 524.7459400932818, 1541]",Pagrus pagrus,20.7807238075303
1644,28_04_21-B25,"[707, 596, 513, 1625.5587202463503]",Pagrus pagrus,21.9650685225474
1645,28_04_21-B25,"[1536, 345.03273933771584, 551, 1762.9672606622842]",Pagrus pagrus,23.3580536756682
1646,28_04_21-B25,"[1153, 1081.4806714678969, 520, 1538.3681020632068]",Pagrus pagrus,20.3058972419303
1647,28_04_21-B25,"[2263, 450, 579.0342616949242, 1579]",Pagrus pagrus,21.3258047687496
1648,28_04_21-B25,"[1704, 1030, 601, 1622]",Pagrus pagrus,22.0182287612312
1649,28_04_21-B25,"[2706, 989, 616.3920006853036, 1669.3480314417666]",Pagrus pagrus,23.3041492196343
1650,28_04_21-B32,"[395, 739, 524, 1741.9785651469238]",Pagrus pagrus,21.6790352651568
1651,28_04_21-B32,"[966, 916, 533, 1762.2063715656486]",Pagrus pagrus,20.7495153652525
1652,28_04_21-B32,"[1501, 798, 530, 1746]",Pagrus pagrus,20.7751208880298
1653,28_04_21-B32,"[2008.1499687493776, 861.2639775885735, 649.1744731765241, 1843.8337461937704]",Pagrus pagrus,21.2374241076313
1654,28_04_21-B32,"[2864, 993, 618.2298613627945, 1827]",Pagrus pagrus,19.646785956347
1655,28_04_21-B32,"[703.1023950991489, 169.26570775691727, 492.8976049008511, 1674.7342922430828]",Pagrus pagrus,19.8683709887169
1656,28_04_21-B32,"[1965, 163, 542, 1710]",Pagrus pagrus,20.0774855134015
1657,28_04_21-B32,"[2621, 260, 656, 1884.6708632758532]",Pagrus pagrus,21.821592729242
1658,28_04_21-B30,"[566, 1192, 477, 1516]",Pagrus pagrus,20.4671993997628
1659,28_04_21-B30,"[712, 483, 574, 1754]",Pagrus pagrus,23.3009519222216
1660,28_04_21-B30,"[1269, 995.6455460715302, 610, 1685.4472916863156]",Pagrus pagrus,22.3223812130455
1661,28_04_21-B30,"[1490, 438.67649042336814, 506, 1517.3235095766317]",Pagrus pagrus,19.9090446818486
1662,28_04_21-B30,"[1930, 976.8290239212545, 575.9161998736804, 1762.1709760787455]",Pagrus pagrus,22.7164615829126
1663,28_04_21-B30,"[2261, 491, 539, 1622.5830175004403]",Pagrus pagrus,20.803100843246
1664,28_04_21-B30,"[2670, 856.4032821594898, 622.4468257552066, 1868.7547842411072]",Pagrus pagrus,24.4373038323932
1665,28_04_21-B33,"[709, 825.1340168395463, 459, 1834.8711332975035]",Mullus surmulentus,22.5335723689085
1666,28_04_21-B33,"[1157, 214, 410, 1665]",Mullus surmulentus,20.8981648164107
1667,28_04_21-B33,"[1929, 335, 334.04398485643105, 1400]",Mullus surmulentus,18.0085900344322
1668,28_04_21-B33,"[1508.9060109768743, 928, 436.0939890231257, 1610]",Mullus surmulentus,20.4662274738855
1669,28_04_21-B33,"[1960, 2201, 1540.4201937056996, 393.19900292454804]",Mullus surmulentus,20.4480287795025
1670,28_04_21-B33,"[3069.4436107542633, 569, 438.5563892457367, 1432]",Mullus surmulentus,19.5755486469775
1671,28_04_21-B33,"[2569, 427, 362, 1648]",Mullus surmulentus,21.752357605352
1672,28_04_21-B33,"[2144, 337, 583.3721271203326, 1506]",Mullus surmulentus,20.5147522557336
